name,citation,google_scholar,personal_page,twitter,linkedin,image,famous_work,honor,institution,position
Geoffrey Hinton,833235,JicYPdAAAAAJ,https://www.cs.toronto.edu/~hinton/,geoffreyhinton,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT694rsiJ72yoxYaMdcpN_gVSQwwiz0xG9Vt4bxg8281pC6xeJHOkgwFhtfWvaiGGkco4ttwZnuh1bU8NXPpo14RQ,"Boltzmann machines, 1985",,University of Toronto; https://fundit.fr/sites/default/files/styles/max_650x650/public/actors/2527-universite-toronto.png?itok=mPR77h6x,Emeritus Professor
Yoshua Bengio,821134,kukA0LcAAAAJ,https://yoshuabengio.org/,Yoshua_Bengio,https://ca.linkedin.com/in/yoshuabengio,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTckPK8_ryySxo8VKj-BYOameFF4b0mGD2OjA&s,Generative Adversarial Net 2014,,University of Montreal; https://www.universityrankings.ch/var/myscienceca/image/logo/umontreal.svg,Professor 
Kaiming He,594195,DhtAFkwAAAAJ,https://people.csail.mit.edu/kaiming/,,https://www.linkedin.com/in/kaiming-he-90664838,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=DhtAFkwAAAAJ&citpid=8,Resnet 2016,,MIT; https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/MIT_logo.svg/2560px-MIT_logo.svg.png,Associate Professor
Ilya Sutskever,614450,x04W_mMAAAAJ,https://www.cs.utoronto.ca/~ilya/,ilyasut,https://www.linkedin.com/in/ilya-sutskever,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=x04W_mMAAAAJ&citpid=12,AlexNet 2012,,Safe Superintelligence; https://ssi.inc/public/og-preview.jpg,Co-Founder
Jian Sun,621808,ALVSZAYAAAAJ,https://www.jiansun.org/,,https://cn.linkedin.com/in/jian-sun-264252111,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=ALVSZAYAAAAJ&citpid=6,Resnet 2016,,Megvii; https://upload.wikimedia.org/wikipedia/commons/0/04/Megvii_logo.png,Chief Scientist
Ross Girshick,561048,W8VIEZgAAAAJ,https://www.rossgirshick.info/,inkynumbers,https://www.linkedin.com/in/ross-girshick-81326084,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQcwNh1fCSqG0rHHxiShtwK1ihvcuStT8_M6w&s,Faster R-CNN 2015,,Vercept; https://vercept.com/Vercept_logo_black.svg,Co-Founder
Andrew Zisserman,460192,UZ5wscMAAAAJ,https://www.robots.ox.ac.uk/~az/,,https://www.linkedin.com/in/andrew-brown-6b4193115,https://apidyn.royalsociety.org/images/fellows/P36328-Andrew-Zisserman.jpg,VGGNet 2014,,University of Oxford; https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/University_of_Oxford.svg/2560px-University_of_Oxford.svg.png,Professor 
Shaoqing Ren,414028,AUhj438AAAAJ,https://shaoqingren.com/,RenShaoqing,https://cn.linkedin.com/in/shaoqing-ren-61853260,https://media.licdn.com/dms/image/v2/D5603AQFJ2o9uExM8jw/profile-displayphoto-shrink_200_200/profile-displayphoto-shrink_200_200/0/1696235064589?e=2147483647&v=beta&t=xD3v5VDmSruVWppW-aBZLbI5BJHkYwUiOxqqFflpgM4,Resnet 2016,,NIO; https://www.logobiaozhi.com/upLoad/image/20240117/17054781597160551.jpg,Vice President
Yann LeCun,400662,WLN3QrAAAAAJ,http://yann.lecun.com/,ylecun,https://www.linkedin.com/in/yann-lecun,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=WLN3QrAAAAAJ&citpid=2,LeNet 1998,,Meta; https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Meta-Logo.png/2560px-Meta-Logo.png,Chief AI Scientist
Xiangyu Zhang,364503,yuB-cfoAAAAJ,,,https://www.linkedin.com/in/xiangyu-zhang-24a148160/,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=yuB-cfoAAAAJ&citpid=4,Resnet 2016,,StepFun; https://www.stepfun.com/assets/logo-white-Bx9HGfJf.svg,Co-Founder
Ian Goodfellow,327150,iYN86KEAAAAJ,https://www.iangoodfellow.com/,goodfellow_ian,https://www.linkedin.com/in/ian-goodfellow-b7187213,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTU27asjcoMNOa87t7UHD8l0wRi1jrRlYYi7w&s,Generative Adversarial Net 2014,,DeepMind; https://upload.wikimedia.org/wikipedia/commons/1/12/DeepMind_logo.png,Research Scientist
Jeff Dean,339090,NMS69lQAAAAJ,https://research.google/people/jeff/?&type=google,JeffDean,https://www.linkedin.com/in/jeff-dean-8b212555,https://pbs.twimg.com/profile_images/935325968280907776/AcBo6zJc_400x400.jpg,Tensorflow 2016,,Google; https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Google_2015_logo.svg/1200px-Google_2015_logo.svg.png,Chief Scientist
Oriol Vinyals,330262,NkzyCvUAAAAJ,https://research.google/people/oriolvinyals/,OriolVinyalsML,https://uk.linkedin.com/in/oriol-vinyals-00b3366,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRykLv6n0CDIrqa9gZOhcg_6KMR8pnQXys2CQ&s,Tensorflow 2016,,DeepMind; https://upload.wikimedia.org/wikipedia/commons/1/12/DeepMind_logo.png,VP of Research & Deep Learning Lead
Alex Krizhevsky,295452,xegzhJcAAAAJ,http://www.cs.toronto.edu/~kriz,,,https://cdn.theorg.com/b1e143fc-ea05-4ab3-9d38-8a33211ab3b9_thumb.jpg,AlexNet 2012,,Dessa; https://ml.globenewswire.com/Resource/Download/ca4405ff-cf62-4b4f-8e47-7f5b41280cf0,Co-Founder
Christian Szegedy,289361,bnQMuzgAAAAJ,,ChrSzegedy,https://www.linkedin.com/in/christian-szegedy-bb284816,https://pbs.twimg.com/profile_images/1728625627207725056/auh7rYVv_400x400.jpg,GoogLeNet 2015,,xAI; https://1000logos.net/wp-content/uploads/2023/10/xAI-Logo.png,Co-Founder
Quoc V. Le,316217,vfT6-XIAAAAJ,https://cs.stanford.edu/~quocle/,quocleix,https://www.linkedin.com/in/quoc-v-le-319b5a8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHQM0-a6JR72guroGOsZN6Tp8JdE6WQ5x_bryB5H0W44M0uHYGKwam5WfvgQjxzCoIbGc&usqp=CAU,Seq2Seq 2014,,Google; https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Google_2015_logo.svg/1200px-Google_2015_logo.svg.png,Research Scientist
Trevor Darrell,289190,bh-uRFMAAAAJ,https://people.eecs.berkeley.edu/~trevor/,trevordarrell,https://its.berkeley.edu/people/trevor-darrell,https://cdn.theorg.com/074ad162-7d89-4ae4-9441-0d0a6b8d0d67_thumb.jpg,FCN 2015,,UC Berkeley; https://images.fineartamerica.com/images/artworkimages/medium/2/berkeley-university-of-california-logo-kls80-kakanda-lee-setiawan-transparent.png,Professor 
Li Fei-Fei,292380,rDfyQnIAAAAJ,http://vision.stanford.edu/,drfeifei,https://www.linkedin.com/in/fei-fei-li-4541247,https://deeplearningindaba.com/wp-content/uploads/2019/07/dr-fei-fei-li.jpg,ImageNet 2009,,Stanford; https://betterbuildingssolutioncenter.energy.gov/sites/default/files/2024-08/Stanford%20Logo_0.png,Professor
Andrew Ng,280275,mG4imMEAAAAJ,https://www.andrewng.org/,AndrewYNg,https://www.linkedin.com/in/andrewyng/,https://twimlai.com/wp-content/uploads/guest_andrew_ng.jpg,LDA 2003,,Stanford; https://betterbuildingssolutioncenter.energy.gov/sites/default/files/2024-08/Stanford%20Logo_0.png,Adjunct Professor
Diederik P. Kingma,294863,yyIoQu4AAAAJ,https://dpkingma.com/,dpkingma,https://www.linkedin.com/in/durk-kingma-58b3564,https://dpkingma.com/files/portrait.jpg,Adam 2014,,Anthropic; https://seeklogo.com/images/A/anthropic-icon-logo-630D0BB290-seeklogo.com.png,Researcher
Christopher D Manning,278070,1zmDOdwAAAAJ,https://nlp.stanford.edu/~manning/,chrmanning,https://www.linkedin.com/in/christopher-manning-011575,https://ethw.org/w/images/f/f7/Christopher_Manning.jpg,GloVe 2014,,Stanford; https://betterbuildingssolutioncenter.energy.gov/sites/default/files/2024-08/Stanford%20Logo_0.png,Professor
Juergen Schmidhuber,273595,gLnCTgIAAAAJ,https://people.idsia.ch/~juergen/,schmidhuberai,https://ch.linkedin.com/in/j%C3%BCrgen-schmidhuber-39226872,https://www.zhaw.ch/storage/hochschule/forschung/kooperationen/datalab/upload/schmidhuber.png,LSTM 1997,,IDSIA; https://media.licdn.com/dms/image/v2/D4E0BAQH8VJJSjRqL4A/company-logo_200_200/company-logo_200_200/0/1731055148483/idsia_logo?e=2147483647&v=beta&t=MxyM_WxXMlzji-NUPCwsg94zkBIYgMoMIj_DTLUOAlQ,scientific director
Jimmy Ba,264745,ymzxRhAAAAAJ,https://jimmylba.github.io/,jimmybajimmyba,,https://vectorinstitute.ai/wp-content/uploads/2018/02/vi_jimmy_ba.jpg,Adam 2015,,University of Toronto; https://fundit.fr/sites/default/files/styles/max_650x650/public/actors/2527-universite-toronto.png?itok=mPR77h6x,Assistant Professor
Karen Simonyan,258601,L7lMQkQAAAAJ,,,https://am.linkedin.com/in/simonyankaren,https://www.chessprogramming.org/images/e/ef/KarenSimonyan.jpg,VGGNet 2014,,Microsoft AI; https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6jRv8uKLKVtjpbDcqgYEKtsmljetkphIoNfJ6bjWq8k84yKS-5txgWaWBtLjwI_xdSUM&usqp=CAU,Chief Scientist
Jitendra Malik,245929,aOklxsQAAAAJ,https://people.eecs.berkeley.edu/~malik/,JitendraMalikCV,https://www.linkedin.com/in/jitendra-malik-60b55823b,https://www2.eecs.berkeley.edu/Faculty/Photos/Fullsize/malik.jpg,R-CNN 2014,,UC Berkeley; https://images.fineartamerica.com/images/artworkimages/medium/2/berkeley-university-of-california-logo-kls80-kakanda-lee-setiawan-transparent.png,Professor
Luc Van Gool,252181,TwMib_QAAAAJ,,,https://ch.linkedin.com/in/luc-van-gool-1b4a689,https://www.trace.ethz.ch/team/img/luc.jpg,SURF 2006,,INSAIT Sofia University; https://avatars.githubusercontent.com/u/117932115?s=200&v=4,Professor
Piotr Doll¨¢r,265137,a8Y2OJMAAAAJ,https://pdollar.github.io/,,https://www.linkedin.com/in/pdollar,https://media.licdn.com/dms/image/v2/C5603AQECzx5xl_6z9w/profile-displayphoto-shrink_200_200/profile-displayphoto-shrink_200_200/0/1517829848053?e=2147483647&v=beta&t=xnU1SMqvObx9rGHDhaiL-EWZWaGFeN1W7pbqIxWT74w,COCO 2014,,FAIR; https://voicebot.ai/wp-content/uploads/2020/07/facebook-ai.png,Researcher
koray kavukcuoglu,254632,sGFyDIUAAAAJ,http://koray.kavukcuoglu.org/,koraykv,https://uk.linkedin.com/in/koray-kavukcuoglu-0439a720,https://raeng.org.uk/media/waahjqa2/koray_kavukcuoglu-headshot-500x540.jpg,DQN 2015,,DeepMind; https://upload.wikimedia.org/wikipedia/commons/1/12/DeepMind_logo.png,Researcher
Ruslan Salakhutdinov,226895,ITZ1e7MAAAAJ,https://www.cs.cmu.edu/~rsalakhu/,rsalakhu,,https://resize-v3.pubpub.org/eyJidWNrZXQiOiJhc3NldHMucHVicHViLm9yZyIsImtleSI6ImV1eDg4Ymw5LzUxNTU5NjYxNDkwNzY2LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6ODAwLCJmaXQiOiJpbnNpZGUiLCJ3aXRob3V0RW5sYXJnZW1lbnQiOnRydWV9fX0=,Dropout 2014,,CMU; https://www.cmu.edu/brand/brand-guidelines/images/lettermark-600x600.jpg,Professor
David Silver,235262,-8DNE4UAAAAJ,https://www.davidsilver.uk/,,,https://www.davidsilver.uk/wp-content/uploads/2020/03/Dave_Silver_Headshot.jpg,DQN 2015,,DeepMind; https://upload.wikimedia.org/wikipedia/commons/1/12/DeepMind_logo.png,Principal Research Scientist
Lukasz Kaiser,241379,JWmiQR0AAAAJ,,lukaszkaiser,https://www.linkedin.com/in/lukaszkaiser,https://media.licdn.com/dms/image/v2/C4D03AQGtjydCUoKQ1w/profile-displayphoto-shrink_200_200/profile-displayphoto-shrink_200_200/0/1516954112694?e=2147483647&v=beta&t=U5i_gk49R0rxN2MxQ-uINsrufYn3vGK5q0FZ5lRDm-k,Attention is all you need 2017,,OpenAI; https://logos-world.net/wp-content/uploads/2024/08/OpenAI-Logo.png,Member of Technical Staff
Jakob Uszkoreit,257126,mOG0bwsAAAAJ,,kyosu,https://www.linkedin.com/in/jakob-uszkoreit-b238b51,https://cdn.prod.website-files.com/62a66aa220a55155318447ce/6729237f91092a6d322be44c_Jakob%20Uszkoreit.jpg,Attention is all you need 2017,,Inceptive; https://cdn.healthtechalpha.com/static/resized/social_media_image/startup_data_images/113608.png,Chief Executive Officer and co-founder
Richard Socher,207714,FaOcyfMAAAAJ,https://www.socher.org/,RichardSocher,https://www.linkedin.com/in/richardsocher,https://somethingventured.us/wp-content/uploads/sites/4/2023/10/csm_Richard_Socher_24ba08d140.jpeg,ImageNet 2009,,you.com; https://logos-world.net/wp-content/uploads/2024/09/You.com-Logo-New.png,CEO/Founder
Noam Shazeer,231336,wsGvgA8AAAAJ,,NoamShazeer,https://www.linkedin.com/in/noam-shazeer-3b27288,https://image.informedainews.com/2024/09/Tec-ipR-1727519237-0.jpg,Attention is all you need 2017,,Google; https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Google_2015_logo.svg/1200px-Google_2015_logo.svg.png,Technical lead on Gemini
Serge Belongie,194831,chD5XxkAAAAJ,https://www.belongielab.org/,BelongieLab,https://dk.linkedin.com/in/sergebelongie,https://images.squarespace-cdn.com/content/v1/54555f7ee4b0b7b149a2117b/2d3ee482-3e16-4419-8164-7f7223671988/Prof.+Serge+Belongie.jpg,COCO 2014,,University of Copenhagen; https://study-eu.s3.eu-west-1.amazonaws.com/uploads/university/university-of-copenhagen--ku--29-logo.png,Professor
Jure Leskovec,195851,Q_kKkIUAAAAJ,https://cs.stanford.edu/~jure/,jure,https://www.linkedin.com/in/leskovec,https://asef.net/wp-content/uploads/2021/10/Jure-Leskovec-scaled.jpg,GraphSAGE 2017,,Stanford; https://betterbuildingssolutioncenter.energy.gov/sites/default/files/2024-08/Stanford%20Logo_0.png,Professor
Thomas Brox,185576,0VAe-TQAAAAJ,https://lmb.informatik.uni-freiburg.de/people/brox/index.en.html,,,https://www.cibss.uni-freiburg.de/fileadmin/_processed_/3/e/csm_CIBSS_Freiburg_portrait-Brox_6ec3cf7103.jpg,U-Net 2015,,University of Freiburg; https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Siegel_der_Albert-Ludwigs-Universit%C3%A4t_Freiburg.svg/800px-Siegel_der_Albert-Ludwigs-Universit%C3%A4t_Freiburg.svg.png,Professor
