英文名,引用数,谷歌学术,个人主页,推特handel,linkedin
Hanspeter Pfister,40701,VWX-GMAAAAAJ,,hpfister,https://www.linkedin.com/in/hpfister
Sander Dieleman,40656,yNNIKJsAAAAJ,,sedielem,https://uk.linkedin.com/in/sanderdieleman
Hanan Samet,40485,ATOfqHEAAAAJ,,,https://www.linkedin.com/in/hanansamet
Soo-Young Lee,40441,TeSGwicAAAAJ,,,https://www.linkedin.com/in/soo-yong-lee-75341411a/?originalSubdomain=ca
Alexander Waibel,40408,uHwTzpYAAAAJ,https://www.cs.cmu.edu/~ahw/,,https://www.linkedin.com/in/alexanderwaibel/
Ronald Fedkiw,39910,OoItXTkAAAAJ,,,https://www.linkedin.com/posts/icme-stanford_ron-fedkiw-professor-of-computer-science-activity-7059985446121963520-pB9b
Christopher Ré,39306,DnnCWN0AAAAJ,,hazyresearch,https://www.linkedin.com/in/chris-re-824a76215
Li Shen,38880,ABbCaxsAAAAJ,https://lishen-shirley.github.io/,,
Brian Curless,38572,tlh8i7gAAAAJ,,,https://www.linkedin.com/in/brian-curless-73ab293
Michael Kass,38065,ma2bi00AAAAJ,,,https://www.linkedin.com/in/michael-kass-3371202
Robert A Brown,37451,-E-eCLcAAAAJ,http://www.robbtech.com/,,
James Bergstra,37037,KOBmy0sAAAAJ,,jabergT,https://www.linkedin.com/in/james-bergstra/
Yaser Sheikh,36390,Yd4KvooAAAAJ,,,https://www.linkedin.com/in/yaser-sheikh-9847a64
Simon Kohl,36345,58pdkNIAAAAJ,,saakohl,
Noah Snavely,36035,Db4BCX8AAAAJ,,Jimantha,https://www.linkedin.com/in/noah-snavely-a236723
Richard Evans,35480,32NVaxYAAAAJ,,,
Matthias Nießner,35272,eUtEs6YAAAAJ,,MattNiessner,
Daniel Thalmann,35126,GPusciUAAAAJ,,,https://ch.linkedin.com/in/daniel-thalmann-78b7135
Arthur Gretton,34871,OUv7J6QAAAAJ,,ArthurGretton,https://uk.linkedin.com/in/arthur-gretton-a892494
Philipp Krähenbühl,34783,dzOd2hgAAAAJ,,,
Hüseyin Bahtiyar,34629,OwZVbEwAAAAJ,https://sites.google.com/view/huseyin-bahtiyar,,
Ravi Ramamoorthi,34476,q0MzO6cAAAAJ,,,https://www.linkedin.com/in/ravi-ramamoorthi-a479323
Andy Ballard,33934,syjQhAMAAAAJ,,,
Joelle Pineau,33452,CEt6_mMAAAAJ,,jpineau1,https://ca.linkedin.com/in/joelle-pineau-371574141
(Peter) Xi Chen陈曦,32840,5tVuggUAAAAJ,,peterxichen,https://www.linkedin.com/in/peter-xi-chen
Richard Lippmann,32839,XIrUoX8AAAAJ,,,
L. Darrell Whitley,32630,0VzUxIcAAAAJ,http://www.cs.colostate.edu/~whitley,,https://www.linkedin.com/in/darrell-whitley-64084b305/
Fritjof Helmchen,32619,IxFPOfAAAAAJ,,,https://www.linkedin.com/in/fritjof-helmchen-6a250613/?originalSubdomain=ch
