英文名,引用数,谷歌学术,个人主页,推特handel,linkedin
Amjad Almahairi,9728,WbYAa7IAAAAJ,,AmjadMahayri,https://www.linkedin.com/in/amjadalmahairi
Benjamin Sanchez-Lengeling,9514,-91dFcMAAAAJ,,beangoben,www.linkedin.com%2Fin%2Fbenjamin-sanchez-lengeling-6879a68a%2F%3Foriginal_referer%3D&sa=D&sntz=1&usg=AOvVaw3da94QvJXpZuEcFSoT7koY
Aravind Srinivas,9451,GhrKC1gAAAAJ,,AravSrinivas,https://www.linkedin.com/in/aravind-srinivas-16051987/
Eric Hambro,8871,ehquBPIAAAAJ,https://erichambro.com/,erichammy,https://uk.linkedin.com/in/eric-hambro
Lars Mescheder,8855,h2k1gL4AAAAJ,,LMescheder,https://de.linkedin.com/in/lmescheder
Josh Tobin,8843,0oIAvO8AAAAJ,,josh_tobin_,https://www.linkedin.com/in/josh-tobin-4b3b10a9
Yuanzhong Xu,8735,KzRHnx0AAAAJ,,ukoxyz,https://www.linkedin.com/in/yuanzhong-xu
Faisal Azhar,8724,MlOnkzoAAAAJ,,,https://uk.linkedin.com/in/faisal-azhar
Tianyu Pang,8703,wYDbtFsAAAAJ,,TianyuPang1,https://sg.linkedin.com/in/tianyu-pang-b3999017a
Alex Lamb,8701,BFzFy1YAAAAJ,,,
Tobias Pfaff,8521,3oUgDKQAAAAJ,,,https://uk.linkedin.com/in/tobias-pfaff-16116b117
Ming Ding,7894,Va50YzkAAAAJ,,sleepychord,
Mehdi SM Sajjadi,7885,rHF25YEAAAAJ,,,
Nikhil Naik,7853,M1IgIyMAAAAJ,https://web.mit.edu/naik/www/,nikhil_ai,https://www.linkedin.com/in/nikdnaik
Yuri Burda,7621,Amky96kAAAAJ,,burdayur,
Xavier Giró-i-Nieto,7539,M3ZUEc8AAAAJ,,DocXavi,https://es.linkedin.com/in/xaviergiro
Edward Hu,7120,2eADy_8AAAAJ,,edwardjhu,https://www.linkedin.com/in/edwardjhu
Jakub M. Tomczak,7010,XB99pR4AAAAJ,,jmtomczak,https://nl.linkedin.com/in/jakub-tomczak-04305314a
Luowei Zhou,6970,M-3cIR0AAAAJ,,luowei_zhou,https://www.linkedin.com/in/luowei-zhou-6548aa9a/
Felix Juefei-Xu,6920,dgN8vtwAAAAJ,,felixudr,https://www.linkedin.com/in/felixu/
Yunjey Choi,6895,v_4lOaAAAAAJ,,yunjey_choi,https://www.linkedin.com/in/https://kr.linkedin.com/in/yunjey-choi-27b347175
Aston Zhang,6688,WXOaxKMAAAAJ,,astonzhangAZ,https://www.linkedin.com/in/astonzhang
Stephan Mandt,6643,HOrGe7wAAAAJ,,s_mandt,https://www.linkedin.com/in/stephan-mandt-8702795a
Sheng Shen,6406,BCKhEoAAAAAJ,,shengs1123,
Katja Hofmann,6242,bHsjbLwAAAAJ,,katjahofmann,http://nl.linkedin.com/in/katjahofmann
Yilun Du,5994,GRMMc_MAAAAJ,,du_yilun,https://www.linkedin.com/in/yilun-du-04a831112
Heinrich Küttler,5984,dE-JkuIAAAAJ,,HeinrichKuttler,https://de.linkedin.com/in/heinrich-kuttler
Tim Brooks,5879,sonlKXIAAAAJ,,_tim_brooks,https://www.linkedin.com/in/timothyebrooks/
Jordan Hoffmann,5875,4A91qjAAAAAJ,,,
Jay Whang,5748,rBH-cpMAAAAJ,,jaywhang_,https://linkedin.com/in/jaywhang
Karan Goel,5644,1i3X2GgAAAAJ,,krandiash,https://www.linkedin.com/in/krandiash
Wei Ping,5551,6gKEYRgAAAAJ,,_weiping,https://www.linkedin.com/in/wei-ping/
Susan Zhang,5494,HbChXx0AAAAJ,,,https://www.linkedin.com/in/suchenzang
Shengfeng He,5382,rBWnK8wAAAAJ,,ShengfengHe,https://www.linkedin.com/in/shengfenghe/
Guilin Liu,5227,zOQj6-gAAAAJ,,GuilinL,https://www.linkedin.com/in/guilin-liu-1a347456/
Abubakar Abid,5125,8slGl3oAAAAJ,,,
Albert Gu,4920,DVCHv1kAAAAJ,,_albertgu,https://www.linkedin.com/in/albert-gu-8ab677139
Deli Zhao,4869,7LhjCn0AAAAJ,,ZhaoDeli,
Chongxuan Li,4725,UKMcQn4AAAAJ,,LiChongxuan,
Dongqing Zhang,4659,SluGYIsAAAAJ,,,
Mykola Lavreniuk (Микола Лавренюк),4638,-oFR-RYAAAAJ,,,https://ua.linkedin.com/in/mykola-lavreniuk?trk=people-guest_people_search-card
Chia-Chih Chen,4446,0Hr1SOUAAAAJ,,,
Jayaraman J. Thiagarajan,4384,cMz65_oAAAAJ,,jjayaram7,https://www.linkedin.com/in/jjayaram7/
Nikolay Savinov,4256,oVe6XMoAAAAJ,,SavinovNikolay,https://uk.linkedin.com/in/nikolay-savinov-2023b884
Bob D. de Vos,4082,Q0KDwp8AAAAJ,,,
Fangneng Zhan,3995,8zbcfzAAAAAJ,,fnzhan0507,https://www.linkedin.com/in/fnzhan
Carey Radebaugh,3983,0oftJqMAAAAJ,,,https://www.linkedin.com/in/careyradebaugh
Xinshuo Weng,3806,dthSEsoAAAAJ,,xinshuoweng,https://ca.linkedin.com/in/xinshuoweng
Andreas Loukas,3775,-XGXJbQAAAAJ,,loukasa_tweet,https://ch.linkedin.com/in/andreas-loukas-64a09b14
Davide Bacciu,3611,1d5n2WkAAAAJ,,,https://www.linkedin.com/in/bacciu/
Sai Rajeswar,3603,h-sqIigAAAAJ,,RajeswarSai,https://www.linkedin.com/in/sairajeswar/
Carlos Riquelme,3581,Es2BBeYAAAAJ,,rikelhood,http://www.linkedin.com/pub/carlos-riquelme/5a/a60/955/
Roberta Raileanu,3531,462OoekAAAAJ,,robertarail,https://www.linkedin.com/in/roberta-raileanu-44b25660/
Youngjung Uh,3507,dTKRUVoAAAAJ,,YoungjungUh,https://kr.linkedin.com/in/youngjung-uh-78b459b5
Joshua Meier,3497,2M0OltAAAAAJ,,joshim5,https://www.linkedin.com/in/joshua-meier-27a6861a
Vladislav Golyanik,3414,we9LnVcAAAAJ,,,https://de.linkedin.com/in/vladislav-golyanik
Demi Guo,3370,lJFV2cwAAAAJ,,demi_guo_,https://www.linkedin.com/in/demi-g-9a9ab6a1/
Akhil Mathur,3350,oKsBeGAAAAAJ,,akhilmathurs,https://www.linkedin.com/in/akhilmathur
Rishabh Agarwal,3322,aH8AJu4AAAAJ,,agarwl_,https://www.linkedin.com/in/agarwl
Brian Amberg,3237,iqUqxgIAAAAJ,,,https://ch.linkedin.com/in/brianamberg
Gido M. van de Ven,3209,3k0l15MAAAAJ,,GMvandeVen,https://www.linkedin.com/in/gido-van-de-ven-966a872a5
Yuki Mitsufuji,3196,GMytI10AAAAJ,,mittu1204,https://www.linkedin.com/in/mittu1204/
Xianbiao Qi,3145,odjSydQAAAAJ,,,https://cn.linkedin.com/in/xianbiao-qi-39617727
Ali Harakeh,3113,wqBHr6MAAAAJ,,AliHarakeh1,http://linkedin.com/in/asharakeh
Johannes C. Paetzold,3080,7Bv7PmgAAAAJ,,,https://uk.linkedin.com/in/johannes-c-paetzold-284685120
Adrian Albert,3076,flJP1GsAAAAJ,,,
Jianwen Xie,2994,O3p4CIQAAAAJ,,jianwen_xie,https://www.linkedin.com/in/jianwen-xie-6904963a/
Mannat Singh,2991,QOO8OCcAAAAJ,,mannat_singh,
Daniel Hernandez Diaz,2959,e0CfY3gAAAAJ,,,https://www.linkedin.com/in/daniel-hernandez-diaz
Tianhong Li,2935,AI2f3dkAAAAJ,,TianhongLi6,https://www.linkedin.com/in/tianhong-li-846390b6
Kristy Choi,2925,WetKfYoAAAAJ,,,https://www.linkedin.com/in/kristyc424
Maxim Tatarchenko,2910,noQo18T42ZoC,,,https://de.linkedin.com/in/tatarchm
Ayzaan Wahid,2897,KsocBp8AAAAJ,,ayzwah,https://www.linkedin.com/in/ayzaan-wahid-21676148
Danilo Comminiello,2827,H3Y52cMAAAAJ,https://danilocomminiello.site.uniroma1.it/,dhan90001,https://www.google.com/url?q=https%3A%2F%2Fwww.linkedin.com%2Fin%2Fdanilocomminiello%2F&sa=D&sntz=1&usg=AOvVaw3Aj6I2y8CRwXAfPxjmbbyQ
Evgeny Putin,2814,Dyj_uSMAAAAJ,,,https://ru.linkedin.com/in/evgeny-putin-4598b8165
Yuning You,2806,Pv-V2igAAAAJ,,you_yuning,https://www.linkedin.com/in/yuningyou/recent-activity/all/
Jing Zhang (张静),2705,Qa1DMv8AAAAJ,,,
Alfredo Cuesta-Infante,2703,OQsC-14AAAAJ,,a_cuestainfante,https://es.linkedin.com/in/antonio-sanz-montemayor
Trung Le,2672,gysdMxwAAAAJ,,,https://au.linkedin.com/in/trung-le-25789b174
Jerry Ma,2647,qukcWBAAAAAJ,,,https://www.linkedin.com/in/majerry/
Ajil Jalal,2515,ePC7IC0AAAAJ,,JalalAjil,https://www.linkedin.com/in/ajil-jalal-6003486b
Tiancheng Zhao,2489,3RwJTyUAAAAJ,,tianchezhao,
Yishu Miao,2482,dxBYu1AAAAAJ,,MiaoYishu,https://uk.linkedin.com/in/yishu-miao-260222ab
Siddharth Goyal,1498,ltmbKbsAAAAJ,,,https://www.linkedin.com/in/goyalsiddharth/
Grégoire Mialon,830,6hie6ZIAAAAJ,,mialon_gregoire,https://fr.linkedin.com/in/gr%C3%A9goire-mialon-676669b6
Bret Taylor,231,5aKayL0AAAAJ,,btaylor,https://www.linkedin.com/in/brettaylor
