name,github,area,personal_page,twitter,linkedin,image,famous_work,link,Company,Job
Knut Sveidqvist,https://github.com/knsv,Frontend,,https://x.com/knutsveidqvist,https://www.linkedin.com/in/knut-sveidqvist,https://avatars.githubusercontent.com/u/5837277?v=4,Mermaid,https://github.com/mermaid-js/mermaid,Mermaid Chart,CTO
Georgi Gerganov,https://github.com/ggerganov,AI Infra,https://ggerganov.com/,https://x.com/ggerganov,,https://pbs.twimg.com/profile_images/1654097134315098113/zCZD0wYz_400x400.jpg,llama.cpp,https://github.com/ggml-org/llama.cpp,ggml,Founder
Matthias Fey,https://github.com/rusty1s,GNN,https://rusty1s.github.io/,https://x.com/rusty1s,https://www.linkedin.com/in/matthias-fey-b4a947221,https://avatars.githubusercontent.com/u/6945922?v=4,PyTorch Geometric,https://github.com/pyg-team/pytorch_geometric,Kumo.AI ,Founding Engineer 
Shay Banon,https://github.com/kimchy,Distributed Systems and Web Search,https://thedudeabides.com/,https://x.com/kimchy,https://www.linkedin.com/in/kimchy/,https://static-www.elastic.co/v3/assets/bltefdd0b53724fa2ce/blt21565aeab3c287e8/5f4ecb7ed2205827bd4f79fc/headshot-shay-banon-300x300.jpg,Elasticsearch ,https://github.com/elastic/elasticsearch,Elastic,CTO
Salvatore Sanfilippo,https://github.com/antirez,Database,http://invece.org/,https://x.com/antirez,,https://pbs.twimg.com/profile_images/1779914746159882240/v6h2w9g0_400x400.jpg,Redis,https://github.com/redis/redis,Redis Lab,Co-founder
Armin Ronacher,https://github.com/mitsuhiko,Full-stack,https://lucumr.pocoo.org/,https://x.com/mitsuhiko,https://www.linkedin.com/in/arminronacher,https://avatars.githubusercontent.com/u/7396?v=4,Flask,https://github.com/pallets/flask,Sentry,VP of platform
Chris Lattner,https://github.com/lattner,Compiler ,https://nondot.org/sabre/,https://x.com/clattner_llvm,https://www.linkedin.com/in/chris-lattner-5664498a,https://nondot.org/sabre/img/ChrisPhoto5.jpg,LLVM,https://github.com/llvm/llvm-project,Modular AI,CEO
Michael Niedermayer,https://github.com/michaelni,,https://guru.multimedia.cx/,,https://www.linkedin.com/in/michaelniedermayer,https://avatars.githubusercontent.com/u/729390?v=4,ffmpeg,https://github.com/FFmpeg/Ffmpeg,FFMPEG,Maintainer
Timoth¨¦e Lacroix,https://github.com/timlacroix,LLM,,https://x.com/tlacroix6,https://www.linkedin.com/in/timothee-lacroix-59517977,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSu8Ip1ZNSijGfFucl1WCanG2BAKVkRc6jBUA&s,llama,https://github.com/meta-llama/llama,Mistral AI,CTO
Jeremy Daer,https://github.com/jeremy,Web,https://jeremydaer.com/,https://x.com/bitsweat,https://www.linkedin.com/in/jeremydaer/,https://avatars.githubusercontent.com/u/199?v=4,Ruby on Rails,https://github.com/rails/rails,37Signals,Programmer
Pablo Hoffman,https://github.com/pablohoffman,Web,https://pablohoffman.com/,https://x.com/pablohoffman,,https://avatars.githubusercontent.com/u/185212?v=4,Scrapy,https://github.com/scrapy/scrapy,zytedata,Founder
Adam Geitgey,https://github.com/ageitgey,Computer Vision,https://www.adamgeitgey.com/,https://x.com/ageitgey,https://www.linkedin.com/learning/instructors/adam-geitgey,https://avatars.githubusercontent.com/u/896692?v=4,Face Recognition,https://github.com/ageitgey/face_recognition,Turquoise Health,Founder
